sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Dummy Product-Black-Xtra Large",,Default,simple,"Default Category/Trucker",base,"Dummy Product",,,2.330000,1,"Taxable Goods","Not Visible Individually",119.000000,,,,dummy-product,"Dummy Product","Dummy Product","Dummy Product ",/a/t/atc9001_front_charcoalheatherblack_2_4.png,,/a/t/atc9001_front_charcoalheatherblack_2_4.png,,/a/t/atc9001_front_charcoalheatherblack_2_4.png,,/a/t/atc9001_front_charcoalheatherblack_2_4.png,,"2/5/21, 2:11 PM","2/5/21, 2:11 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Black,product_approval=Yes,size=Xtra Large",129.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc9001_front_charcoalheatherblack_2_4.png,,,,,,,,,,,,,
"Dummy Product-Black-2X Large",,Default,simple,"Default Category/Trucker",base,"Dummy Product",,,2.330000,1,"Taxable Goods","Not Visible Individually",119.000000,,,,dummy-product,"Dummy Product","Dummy Product","Dummy Product ",/a/t/atc9001_front_charcoalheatherblack_2_5.png,,/a/t/atc9001_front_charcoalheatherblack_2_5.png,,/a/t/atc9001_front_charcoalheatherblack_2_5.png,,/a/t/atc9001_front_charcoalheatherblack_2_5.png,,"2/5/21, 2:11 PM","2/5/21, 2:11 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Black,product_approval=Yes,size=2X Large",129.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc9001_front_charcoalheatherblack_2_5.png,,,,,,,,,,,,,
"Dummy Product-2",,Default,configurable,"Default Category/Trucker",base,"Dummy Product",,,2.330000,1,"Taxable Goods","Catalog, Search",,,,,dummy-product,"Dummy Product","Dummy Product","Dummy Product ",/a/t/atc5050_form_front_gold_112017.png,,/a/t/atc5050_form_front_gold_112017.png,,/a/t/atc5050_form_front_gold_112017.png,,,,"2/5/21, 2:12 PM","2/10/21, 6:09 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"department=Headwear,industry=Spiritwear,product_approval=Yes,type_of_store=Retail",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/a/t/atc5050_form_front_gold_112017.png,/b/a/back.png",",",,,,,,,,,,,"sku=Dummy Product,color=Navy,size=Small|sku=Dummy Product-Navy-2X Large,color=Navy,size=2X Large|sku=Dummy Product-Navy-Xtra Large,color=Navy,size=Xtra Large|sku=Dummy Product-Navy-Large,color=Navy,size=Large|sku=Dummy Product-Navy-Medium,color=Navy,size=Medium|sku=Dummy Product-Black-Small,color=Black,size=Small|sku=Dummy Product-Black-2X Large,color=Black,size=2X Large|sku=Dummy Product-Black-Xtra Large,color=Black,size=Xtra Large|sku=Dummy Product-Black-Medium,color=Black,size=Medium","color=Color,size=Size"
B90195501,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods","Not Visible Individually",24.500000,,,,fitted-trucker-with-r-flex,,,,/7/1/7180_fm_30.jpg,,no_selection,,/7/1/7180_fm_30.jpg,,/7/1/7180_fm_30.jpg,,"2/9/21, 4:24 AM","2/9/21, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71399_b_fm_30.jpg,/7/1/71399_d_fm_19.jpg,/7/1/71399_f_fm_17.jpg,/7/1/71399_fm_17.jpg,/7/1/7180_fm_30.jpg,/7/1/7180_fm_30.jpg",",,,,,",,,,,,,,,,,,
B90195503,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/7/1/7180_fm_31.jpg,,no_selection,,/7/1/7180_fm_31.jpg,,/7/1/7180_fm_31.jpg,,"2/9/21, 4:25 AM","2/9/21, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71399_b_fm_31.jpg,/7/1/71399_d_fm_20.jpg,/7/1/71399_f_fm_18.jpg,/7/1/71399_fm_18.jpg,/7/1/7180_fm_31.jpg,/7/1/7180_fm_31.jpg",",,,,,",,,,,,,,,,,,
B90195361,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/1/0/10666_fm_14.jpg,,no_selection,,/1/0/10666_fm_14.jpg,,/1/0/10666_fm_14.jpg,,"2/9/21, 4:25 AM","2/9/21, 4:26 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71374_fm_4.jpg,/7/1/71374_d_fm_4.jpg,/7/1/71374_b_fm_4.jpg,/7/1/71374_f_fm_4.jpg,/1/0/10666_fm_14.jpg,/1/0/10666_fm_14.jpg",",,,,,",,,,,,,,,,,,
B90195363,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/1/0/10666_fm_15.jpg,,no_selection,,/1/0/10666_fm_15.jpg,,/1/0/10666_fm_15.jpg,,"2/9/21, 4:26 AM","2/9/21, 4:26 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71374_fm_5.jpg,/7/1/71374_d_fm_5.jpg,/7/1/71374_b_fm_5.jpg,/7/1/71374_f_fm_5.jpg,/1/0/10666_fm_15.jpg,/1/0/10666_fm_15.jpg",",,,,,",,,,,,,,,,,,
B90195511,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/1/3/13198_fm_14.jpg,,no_selection,,/1/3/13198_fm_14.jpg,,/1/3/13198_fm_14.jpg,,"2/9/21, 4:26 AM","2/9/21, 4:27 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71381_b_fm_4.jpg,/7/1/71381_d_fm_4.jpg,/7/1/71381_f_fm_4.jpg,/7/1/71381_fm_4.jpg,/1/3/13198_fm_14.jpg,/1/3/13198_fm_14.jpg",",,,,,",,,,,,,,,,,,
B90195513,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/1/3/13198_fm_15.jpg,,no_selection,,/1/3/13198_fm_15.jpg,,/1/3/13198_fm_15.jpg,,"2/9/21, 4:27 AM","2/9/21, 4:27 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71381_b_fm_5.jpg,/7/1/71381_d_fm_5.jpg,/7/1/71381_f_fm_5.jpg,/7/1/71381_fm_5.jpg,/1/3/13198_fm_15.jpg,/1/3/13198_fm_15.jpg",",,,,,",,,,,,,,,,,,
B90195571,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/1/3/13157_fm_14.jpg,,no_selection,,/1/3/13157_fm_14.jpg,,/1/3/13157_fm_14.jpg,,"2/9/21, 4:27 AM","2/9/21, 4:28 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71383_b_fm_4.jpg,/7/1/71383_d_fm_4.jpg,/7/1/71383_f_fm_4.jpg,/7/1/71383_fm_4.jpg,/1/3/13157_fm_14.jpg,/1/3/13157_fm_14.jpg",",,,,,",,,,,,,,,,,,
B90195573,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/1/3/13157_fm_15.jpg,,no_selection,,/1/3/13157_fm_15.jpg,,/1/3/13157_fm_15.jpg,,"2/9/21, 4:28 AM","2/9/21, 4:28 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71383_b_fm_5.jpg,/7/1/71383_d_fm_5.jpg,/7/1/71383_f_fm_5.jpg,/7/1/71383_fm_5.jpg,/1/3/13157_fm_15.jpg,/1/3/13157_fm_15.jpg",",,,,,",,,,,,,,,,,,
B90195581,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/1/3/13160_fm_14.jpg,,no_selection,,/1/3/13160_fm_14.jpg,,/1/3/13160_fm_14.jpg,,"2/9/21, 4:29 AM","2/9/21, 4:29 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71384_fm_4.jpg,/7/1/71384_b_fm_4.jpg,/7/1/71384_d_fm_4.jpg,/7/1/71384_f_fm_4.jpg,/1/3/13160_fm_14.jpg,/1/3/13160_fm_14.jpg",",,,,,",,,,,,,,,,,,
B90195583,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/1/3/13160_fm_15.jpg,,no_selection,,/1/3/13160_fm_15.jpg,,/1/3/13160_fm_15.jpg,,"2/9/21, 4:29 AM","2/9/21, 4:29 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71384_fm_5.jpg,/7/1/71384_b_fm_5.jpg,/7/1/71384_d_fm_5.jpg,/7/1/71384_f_fm_5.jpg,/1/3/13160_fm_15.jpg,/1/3/13160_fm_15.jpg",",,,,,",,,,,,,,,,,,
B90195641,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/1/5/15642_fm_14.jpg,,no_selection,,/1/5/15642_fm_14.jpg,,/1/5/15642_fm_14.jpg,,"2/9/21, 4:30 AM","2/9/21, 4:30 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71387_fm_4.jpg,/7/1/71387_b_fm_4.jpg,/7/1/71387_d_fm_4.jpg,/7/1/71387_f_fm_4.jpg,/1/5/15642_fm_14.jpg,/1/5/15642_fm_14.jpg",",,,,,",,,,,,,,,,,,
B90195643,,Default,virtual,,base,"Fitted Trucker with R-Flex","<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4"") L/XL (&nbsp;7 - 7 5/8"")</p>",,0.256944,1,"Taxable Goods",0,24.500000,,,,fitted-trucker-with-r-flex,,,,/1/5/15642_fm_15.jpg,,no_selection,,/1/5/15642_fm_15.jpg,,/1/5/15642_fm_15.jpg,,"2/9/21, 4:30 AM","2/9/21, 4:30 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"department=Headwear,industry=Workwear|Spiritwear|Sports|Corporate|Fitness|Others,size=0,type_of_store=Dual Purpose|Private|Pop-up|Retail",100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/7/1/71387_fm_5.jpg,/7/1/71387_b_fm_5.jpg,/7/1/71387_d_fm_5.jpg,/7/1/71387_f_fm_5.jpg,/1/5/15642_fm_15.jpg,/1/5/15642_fm_15.jpg",",,,,,",,,,,,,,,,,,
